Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names
"[BLASTED, MAPPED, ANNOTATED]",pak_c49_g1_i1,P2C30_ARATH ame: Full=Probable phosphatase 2C 30 Short= 2C30 ame: Full= 2C5,256,5,1.24E-39,82.2,11,F:GO:0004722; C:GO:0005634; C:GO:0009507; P:GO:0009738; P:GO:0010440; C:GO:0008287; F:GO:0046872; C:GO:0016020; P:GO:0006470; P:GO:0009611; P:GO:0050832,F:protein serine/threonine phosphatase activity; C:nucleus; C:chloroplast; P:abscisic acid-activated signaling pathway; P:stomatal lineage progression; C:protein serine/threonine phosphatase complex; F:metal ion binding; C:membrane; P:protein dephosphorylation; P:response to wounding; P:defense response to fungus,EC:3.1.3.16; EC:3.1.3.41,Protein-serine/threonine phosphatase; 4-nitrophenylphosphatase
"[BLASTED, MAPPED, ANNOTATED]",pak_c50_g1_i1,IQM5_ARATH ame: Full=IQ domain-containing IQM5 ame: Full=IQ motif-containing 5,227,5,2.51E-29,84.4,6,C:GO:0005634; F:GO:0005516; P:GO:0010197; C:GO:0005737; P:GO:0010119; P:GO:0010200,C:nucleus; F:calmodulin binding; P:polar nucleus fusion; C:cytoplasm; P:regulation of stomatal movement; P:response to chitin,,
"[BLASTED, MAPPED, ANNOTATED]",pak_c50_g1_i2,IQM5_ARATH ame: Full=IQ domain-containing IQM5 ame: Full=IQ motif-containing 5,301,5,2.32E-49,85.6,6,C:GO:0005634; F:GO:0005516; P:GO:0010197; C:GO:0005737; P:GO:0010119; P:GO:0010200,C:nucleus; F:calmodulin binding; P:polar nucleus fusion; C:cytoplasm; P:regulation of stomatal movement; P:response to chitin,,
"[BLASTED, MAPPED, ANNOTATED]",pak_c57_g1_i1,PUP5_ARATH ame: Full=Probable purine permease 5 Short= 5,226,5,1.02E-25,68.8,4,C:GO:0016021; F:GO:0005345; P:GO:0009624; P:GO:0006863,C:integral component of membrane; F:purine nucleobase transmembrane transporter activity; P:response to nematode; P:purine nucleobase transport,,
"[BLASTED, MAPPED, ANNOTATED]",pak_c58_g1_i1,CDKG2_ORYSJ ame: Full=Cyclin-dependent kinase G-2 Short=CDKG 2,218,5,4.09E-21,74.4,15,C:GO:0044428; P:GO:0007088; F:GO:0004693; P:GO:0009069; P:GO:0006468; P:GO:0000398; F:GO:0005524; F:GO:0005515; P:GO:0050684; P:GO:0051726; C:GO:0005737; P:GO:0001824; P:GO:0032953; P:GO:0010584; P:GO:2001234,"C:nuclear part; P:regulation of mitotic nuclear division; F:cyclin-dependent protein serine/threonine kinase activity; P:serine family amino acid metabolic process; P:protein phosphorylation; P:mRNA splicing, via spliceosome; F:ATP binding; F:protein binding; P:regulation of mRNA processing; P:regulation of cell cycle; C:cytoplasm; P:blastocyst development; P:regulation of (1->3)-beta-D-glucan biosynthetic process; P:pollen exine formation; P:negative regulation of apoptotic signaling pathway",EC:2.7.11; EC:2.7.11.22,Transferring phosphorus-containing groups; Cyclin-dependent kinase
"[BLASTED, MAPPED, ANNOTATED]",pak_c68_g1_i1,DUS12_RAT ame: Full=Dual specificity phosphatase 12 ame: Full=Glucokinase-associated dual specificity phosphatase Short=GKAP,246,5,3.25E-06,90.2,11,C:GO:0005634; P:GO:0043405; F:GO:0008270; F:GO:0033549; P:GO:0033133; P:GO:0006570; F:GO:0004725; C:GO:0005829; P:GO:0035335; F:GO:0019900; F:GO:0008138,C:nucleus; P:regulation of MAP kinase activity; F:zinc ion binding; F:MAP kinase phosphatase activity; P:positive regulation of glucokinase activity; P:tyrosine metabolic process; F:protein tyrosine phosphatase activity; C:cytosol; P:peptidyl-tyrosine dephosphorylation; F:kinase binding; F:protein tyrosine/serine/threonine phosphatase activity,EC:3.1.3.16; EC:3.1.3.48; EC:3.1.3.41,Protein-serine/threonine phosphatase; Protein-tyrosine-phosphatase; 4-nitrophenylphosphatase
"[BLASTED, MAPPED, ANNOTATED]",pak_c87_g1_i1,FNTB_PEA ame: Full= farnesyltransferase subunit beta Short=FTase-beta ame: Full=CAAX farnesyltransferase subunit beta ame: Full=Ras s prenyltransferase subunit beta,284,5,1.27E-41,69.4,16,F:GO:0008270; P:GO:0008285; F:GO:0004660; P:GO:0006694; F:GO:0004311; P:GO:0009934; P:GO:0009414; P:GO:0009788; C:GO:0005965; P:GO:0042060; F:GO:0005515; P:GO:0009737; P:GO:0048146; P:GO:0018343; P:GO:0016114; P:GO:0018342,F:zinc ion binding; P:negative regulation of cell proliferation; F:protein farnesyltransferase activity; P:steroid biosynthetic process; F:farnesyltranstransferase activity; P:regulation of meristem structural organization; P:response to water deprivation; P:negative regulation of abscisic acid-activated signaling pathway; C:protein farnesyltransferase complex; P:wound healing; F:protein binding; P:response to abscisic acid; P:positive regulation of fibroblast proliferation; P:protein farnesylation; P:terpenoid biosynthetic process; P:protein prenylation,EC:2.5.1.29; EC:2.5.1.58,Geranylgeranyl diphosphate synthase; Protein farnesyltransferase
"[BLASTED, MAPPED, ANNOTATED]",pak_c111_g1_i1,VILI2_ARATH ame: Full=Villin-2,216,5,4.73E-34,76,6,F:GO:0051015; P:GO:0051014; P:GO:0051693; C:GO:0005829; C:GO:0005884; P:GO:0051017,F:actin filament binding; P:actin filament severing; P:actin filament capping; C:cytosol; C:actin filament; P:actin filament bundle assembly,,
"[BLASTED, MAPPED, ANNOTATED]",pak_c112_g1_i1,SPXM3_ARATH ame: Full=SPX domain-containing membrane At4g22990,245,5,6.02E-34,76.6,7,F:GO:0015114; C:GO:0009705; P:GO:0055062; P:GO:1905011; C:GO:0016021; P:GO:0007037; C:GO:0005794,F:phosphate ion transmembrane transporter activity; C:plant-type vacuole membrane; P:phosphate ion homeostasis; P:transmembrane phosphate ion transport from cytosol to vacuole; C:integral component of membrane; P:vacuolar phosphate transport; C:Golgi apparatus,,
"[BLASTED, MAPPED, ANNOTATED]",pak_c116_g1_i1,RPI2_ARATH ame: Full=Probable ribose-5-phosphate isomerase 2 ame: Full=Phosphoriboisomerase 2,274,5,1.19E-38,69.8,15,C:GO:0009570; P:GO:0009052; C:GO:0009941; P:GO:0080167; F:GO:0004751; P:GO:0046109; P:GO:0009735; P:GO:0042742; C:GO:0009535; P:GO:0008219; P:GO:0019253; C:GO:0005829; P:GO:0010228; P:GO:0030244; P:GO:0015976,"C:chloroplast stroma; P:pentose-phosphate shunt, non-oxidative branch; C:chloroplast envelope; P:response to karrikin; F:ribose-5-phosphate isomerase activity; P:uridine biosynthetic process; P:response to cytokinin; P:defense response to bacterium; C:chloroplast thylakoid membrane; P:cell death; P:reductive pentose-phosphate cycle; C:cytosol; P:vegetative to reproductive phase transition of meristem; P:cellulose biosynthetic process; P:carbon utilization",EC:5.3.1.6,Ribose-5-phosphate isomerase
